author,commits,fixes,bugs,sign-off,test,review,report
Jordan Crouse,218,6,1,233,3,47,2
Bard Liao,218,2,1,235,0,3,2
Andreas Herrmann,218,1,0,252,16,12,10
Jeremy Kerr,216,3,0,344,2,0,2
Joonyoung Shim,216,2,0,241,3,59,4
Waiman Long,214,15,3,219,17,11,12
David Lechner,213,2,1,222,26,78,4
Benjamin Gaignard,212,6,2,311,41,80,2
Thomas Renninger,212,1,0,256,8,15,6
Peter Griffin,211,2,0,225,4,9,3
Gao Xiang,210,29,24,227,0,47,3
Fabrice Gasnier,209,37,13,232,1,0,0
Ian Kent,209,4,0,247,9,7,4
Ulrich Hecht,208,4,0,246,10,57,2
Prarit Bhargava,208,18,4,212,32,19,17
Hendrik Brueckner,206,5,0,208,0,109,4
Jernej Skrabec,204,32,17,217,2,14,1
Chunfeng Yun,204,0,0,212,7,3,1
Vlad Buslov,202,63,36,205,1,20,6
Lyude Paul,201,43,22,223,9,95,5
Jozsef Kadlecsik,201,3,3,276,1,0,0
Chengguang Xu,201,3,1,201,0,2,2
Dmitry Monakhov,201,0,0,204,0,8,3
Naoya Horiguchi,201,24,9,216,4,138,6
Coly Li,200,22,7,267,0,31,4
Alexander Usyskin,200,10,2,264,0,11,0
Jayachandran C,200,0,0,239,2,0,2
Marek Lindner,200,4,0,807,0,2,18
Joel Fernandes,199,8,4,217,5,65,14
Janusz Krzysztofik,199,19,11,198,59,4,6
Lu Baolu,198,33,3,214,0,21,0
Jassi Brar,198,1,1,422,2,1,2
Yuchung Cheng,198,20,11,307,1,9,12
Yonghong Song,194,61,25,199,2,6,9
Jiri Benc,194,40,8,245,0,10,5
Kefeng Wang,193,8,0,194,7,3,11
Takeshi Kihara,193,40,4,261,0,0,0
Stefan Roese,192,3,0,213,23,9,5
Alex Shi,190,1,0,191,3,2,12
James Morse,189,33,1,212,20,91,8
Nicholas Kazlauskas,189,25,6,192,0,123,0
Todd Poynor,189,0,0,205,0,3,3
Chad Dupuis,188,1,0,332,6,10,0
Doug Anderson,188,9,4,222,79,184,11
Manivannan Sadhasivam,187,5,2,197,4,7,1
Yishai Hadas,186,35,14,221,0,138,0
Greg Rose,186,1,0,205,14,18,4
Toshi Kani,186,13,3,191,41,56,12
Logan Gunthorpe,185,23,10,202,5,86,9
Patrice Chotard,185,3,0,184,1,16,1
Thomas Meyer,185,0,0,186,3,0,10
Niklas Cassel,184,27,1,209,39,28,15
Andre Guedes,184,3,0,184,0,0,0
Tom Lendacky,182,12,3,395,30,20,2
Sukadev Bhattiprolu,182,4,2,228,37,12,2
Yunsheng Lin,181,60,12,222,0,12,1
Leo Liu,181,4,1,180,0,69,0
Stephan Mueller,180,14,8,188,5,12,12
Sinan Kaya,180,25,11,182,13,48,2
Hidetoshi Seto,179,0,0,253,1,32,1
Taehee Yoo,178,89,7,178,1,0,8
Quentin Monnet,178,28,8,179,0,250,2
Steve Longerbeam,177,12,1,194,35,15,2
Amit Kucheria,176,6,2,182,12,61,0
Huazhong Tan,176,66,16,460,0,0,1
Mathieu Malaterre,175,8,1,175,61,5,11
Ivan Khoronzhuk,174,10,2,179,3,6,1
Dave Kleikamp,173,0,0,289,1,7,3
Wei Yang,171,7,1,172,2,24,5
Anatolij Gustschin,170,0,0,254,3,0,1
Sowmini Varadhan,170,5,2,173,3,13,10
Doug Ledford,169,11,0,3948,27,15,9
Lukas Czerner,169,7,1,172,2,39,1
Nathan Fontenot,169,6,5,187,2,28,0
Ping Cheng,168,1,0,175,18,81,2
Zhao Yakui,168,0,0,183,1,1,1
Vignesh R,168,14,4,152,6,3,2
Andrea Gelmini,168,0,0,166,2,0,3
Jagan Teki,167,4,1,173,2,12,1
Ralph Campbell,167,6,0,180,29,48,0
Gal Pressman,167,52,18,173,2,28,1
Ross Zwisler,167,9,0,192,25,152,24
Mike Galbraith,167,5,1,217,45,0,83
OGAWA Hirofumi,166,1,0,201,2,0,4
Ronnie Sahlberg,166,2,0,172,0,159,2
Li RongQing,166,20,0,168,1,0,7
Jarkko Sakkinen,166,48,24,516,163,350,2
Josh Triplett,166,0,0,169,3,978,16
Paul Kocialkowski,164,11,2,172,2,64,1
Roopa Prabhu,164,23,14,228,0,1,3
Jacek Anaszewski,163,3,2,570,0,10,2
Edward Cree,162,33,20,212,0,5,2
Vasundhara Volam,162,26,10,172,0,1,1
Leonard Crestez,161,33,3,167,7,37,9
Chuhong Yuan,160,16,1,160,0,0,1
Vivek Gautam,160,4,3,173,21,46,0
Richard Fitzgerald,160,1,0,172,0,4,1
Ilia Mirkin,160,5,0,161,1,3,8
Roman Gushchin,160,26,15,163,3,50,6
Vadim Pasternak,159,25,20,159,0,2,2
Brice Goglin,159,0,0,167,15,2,6
Stefano Brivio,158,60,18,168,1,45,3
Thomas Richter,158,26,8,148,21,62,8
Matt Redfearn,158,38,6,168,9,13,4
Guillaume Nault,156,72,12,156,12,18,6
Petr Mladek,156,9,0,303,11,114,6
Thor Thayer,156,10,3,164,8,9,1
Quentin Schulz,156,10,5,163,25,12,1
Milan Broz,155,6,0,169,14,4,7
Joseph Lo,155,1,0,162,3,4,1
SeongJae Park,154,13,0,155,0,1,0
Shivasharan S,154,2,2,162,0,0,0
Dennis Dalessandro,153,9,0,807,2,495,0
Song Liu,153,29,15,244,34,20,15
Feng Tang,153,1,0,169,0,0,2
Peter Oberparleiter,153,1,0,155,9,115,5
Dexuan Cui,152,34,8,152,15,17,14
Moni Shoua,152,34,15,185,1,36,2
Yongqiang Sun,151,0,0,154,0,74,0
Sunil Goutham,151,1,1,212,0,0,0
Adam Jackson,151,0,0,154,3,62,5
Vaishali Thakkar,151,1,1,153,0,13,3
Arnaud Patard,151,2,0,167,7,1,4
Leo Yan,150,17,2,165,66,26,8
Stephen Smalley,150,10,4,129,5,14,11
Sabrina Dubroca,150,93,25,154,7,34,17
Tony Cheng,150,0,0,154,0,1176,0
Jann Horn,149,67,2,155,3,8,51
Luca Ceresoli,149,8,2,149,2,6,1
Xiang Chen,149,5,2,177,3,11,1
Gerald Schaefer,148,12,2,151,6,102,9
Yazen Ghannam,148,9,4,152,9,2,1
Carolyn Wyborny,148,0,0,153,0,0,0
Charlene Liu,147,0,0,152,0,192,0
Peter Korsgaard,147,0,0,151,3,3,1
Tudor Ambarus,146,14,3,263,3,60,0
Anshuman Khandual,146,4,0,151,6,36,6
Lokesh Vutla,146,6,1,190,19,34,1
Jian Shen,145,58,19,158,0,2,0
Vasily Averin,145,33,2,143,1,3,3
Vladimir Murzin,145,14,4,157,21,36,11
Cyrille Pitchen,145,9,4,256,1,2,3
Anna Schumaker,144,9,0,1310,10,4,6
Hui Wang,143,15,9,145,8,0,3
Eric Auger,143,14,4,151,64,254,14
Guoqing Jiang,143,10,1,144,1,3,1
Maor Gottlieb,142,49,17,160,0,65,1
Kevin Hao,142,9,0,138,0,0,3
Rami Rosen,142,0,0,151,0,0,1
Ira Weiny,141,14,3,189,28,406,0
Deepa Dinamani,141,6,5,143,0,0,0
Eric Huang,141,0,0,145,0,35,0
Dave Young,140,4,2,145,24,15,16
Huacai Chen,140,12,0,141,1,4,1
Tyler Hicks,139,6,0,245,1,23,2
